indel_size	fq
-76	0
-75	0
-74	0
-73	0
-72	0
-71	0
-70	0
-69	0
-68	0
-67	0
-66	0
-65	0
-64	0
-63	0
-62	0
-61	0
-60	0
-59	0
-58	0
-57	0
-56	0
-55	0
-54	0
-53	1
-52	3
-51	24
-50	3
-49	1
-48	1
-47	0
-46	10
-45	7
-44	8
-43	7
-42	22
-41	15
-40	5
-39	50
-38	15
-37	8
-36	68
-35	19
-34	7
-33	14
-32	10
-31	17
-30	111
-29	23
-28	16
-27	18
-26	2
-25	25
-24	238
-23	74
-22	79
-21	86
-20	53
-19	63
-18	116
-17	84
-16	138
-15	36
-14	86
-13	165
-12	90
-11	358
-10	82
-9	186
-8	293
-7	150
-6	111
-5	2511
-4	308
-3	165
-2	484
-1	625
0	3284
1	965
2	69
3	72
4	27
5	17
6	62
7	33
8	13
9	6
10	19
11	9
12	7
13	9
14	11
15	2
16	4
17	2
18	15
19	3
20	4
21	5
22	1
23	1
24	2
25	3
26	3
27	4
28	3
29	0
30	0
31	0
32	0
33	0
34	1
35	0
36	0
37	1
38	0
39	0
40	0
41	0
42	1
43	0
44	0
45	0
46	0
47	0
48	2
49	0
50	0
51	0
52	0
53	0
54	0
55	0
