# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	2.650000000000000000e+01
26	2.650000000000000000e+01
27	4.805882352941176805e+01
28	4.805882352941176805e+01
29	4.827777777777777857e+01
30	4.827777777777777857e+01
31	4.827777777777777857e+01
32	4.866666666666666430e+01
33	4.483870967741935232e+01
34	4.343750000000000000e+01
35	4.629032258064516014e+01
36	4.629032258064516014e+01
37	4.629032258064516014e+01
38	4.629032258064516014e+01
39	4.220588235294117396e+01
40	4.147058823529411598e+01
41	3.776785714285714590e+01
42	3.805172413793103203e+01
43	3.805172413793103203e+01
44	3.805172413793103203e+01
45	3.811290322580644840e+01
46	3.765753424657534509e+01
47	3.920833333333333570e+01
48	3.617605633802816811e+01
49	3.639215686274509665e+01
50	3.560451977401130108e+01
51	3.523280423280423435e+01
52	3.613227513227513299e+01
53	3.532110091743119540e+01
54	3.517872340425532229e+01
55	3.535849056603773732e+01
56	3.400651465798045336e+01
57	3.329141104294478737e+01
58	3.264285714285714590e+01
59	3.127819548872180277e+01
60	3.103953488372092906e+01
61	2.995283018867924696e+01
62	2.810282776349614409e+01
63	2.772168674698795243e+01
64	2.714158305462653331e+01
65	2.484244670991659021e+01
66	2.487962166809974107e+01
67	2.456160938809723504e+01
68	2.084778862722573223e+01
69	2.069792802617230265e+01
70	2.048893360160965926e+01
71	1.930511543684925257e+01
72	1.819507269789983894e+01
73	1.777864874953340646e+01
74	1.742944564434845134e+01
75	1.651094890510949043e+01
76	1.084282029234737799e+01
77	9.777660853878533231e+00
78	1.096277590722035100e+01
79	1.112409513960703222e+01
80	1.139647473560517099e+01
81	2.010687890847072268e+01
82	2.021356335514574809e+01
83	2.052041477640959144e+01
84	2.177111286503551568e+01
85	2.354764196342637206e+01
86	2.467140825035561846e+01
87	2.677374784110535444e+01
88	2.719160583941605935e+01
89	2.803245436105476784e+01
90	2.922119815668202847e+01
91	3.002702702702702808e+01
92	3.034153846153846246e+01
93	3.160915492957746409e+01
94	3.043295019157088177e+01
95	3.090517241379310320e+01
96	3.013861386138613696e+01
97	3.047619047619047450e+01
98	3.142424242424242564e+01
99	3.187919463087248317e+01
100	3.187500000000000000e+01
101	3.126612903225806406e+01
102	3.248076923076923350e+01
103	2.637500000000000000e+01
104	3.204444444444444429e+01
105	3.539999999999999858e+01
106	3.490909090909090651e+01
107	3.423529411764705799e+01
108	3.308163265306122724e+01
109	3.597674418604650981e+01
110	3.635483870967741638e+01
111	3.439999999999999858e+01
112	3.439999999999999858e+01
113	3.583333333333333570e+01
114	2.266666666666666785e+01
115	2.914285714285714235e+01
116	2.914285714285714235e+01
117	0.000000000000000000e+00
118	0.000000000000000000e+00
119	0.000000000000000000e+00
120	0.000000000000000000e+00
121	0.000000000000000000e+00
122	0.000000000000000000e+00
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	0.000000000000000000e+00
