# amplicon position	effect
1	5.615587509572024238e-01
2	1.871862503190674654e-01
3	2.892878414021952116e-01
4	3.828809665617289304e-01
5	3.233217050965710992e-01
6	4.509486939504807057e-01
7	1.021015910831277185e-01
8	2.552539777078192962e-02
9	3.403386369437590153e-02
10	1.531523866246915777e-01
11	1.276269888539096342e-01
12	5.105079554156385924e-02
13	1.021015910831277185e-01
14	1.021015910831277185e-01
15	2.127116480898494089e-01
16	2.382370458606313246e-01
17	2.552539777078192962e-02
18	1.701693184718795077e-02
19	1.191185229303156623e-01
20	3.403386369437590153e-02
21	2.552539777078192962e-02
22	1.106100570067216904e-01
23	8.508465923593975383e-03
24	5.955926146515783115e-02
25	5.955926146515783115e-02
26	6.806772738875180306e-02
27	2.807793754786012119e-01
28	1.786777843954734935e-01
29	1.871862503190674654e-01
30	1.616608525482855496e-01
31	2.042031821662554369e-01
32	2.042031821662554369e-01
33	4.509486939504807057e-01
34	3.658640347145409866e-01
35	3.148132391729770996e-01
36	3.063047732493831554e-01
37	2.892878414021952116e-01
38	3.488471028673530427e-01
39	3.488471028673530427e-01
40	4.594571598740747054e-01
41	4.934910235684505930e-01
42	5.275248872628265362e-01
43	5.360333531864205359e-01
44	5.190164213392325365e-01
45	5.530502850336084242e-01
46	6.976942057347060855e-01
47	6.211180124223601995e-01
48	1.250744490768314510e+00
49	1.378371479622224172e+00
50	1.616608525482855496e+00
51	1.659150855100825384e+00
52	1.684676252871607272e+00
53	1.939930230579426595e+00
54	2.067557219433336257e+00
55	2.288777333446779583e+00
56	2.731217561473666233e+00
57	2.824810686633199897e+00
58	3.063047732493831443e+00
59	3.505487960520718094e+00
60	3.777758870075725195e+00
61	4.611588530587934720e+00
62	6.687654215944864866e+00
63	7.198162171360503514e+00
64	7.878839445248021711e+00
65	9.299753254488216214e+00
66	9.980430528375734411e+00
67	1.025270143793074062e+01
68	1.503445928699055578e+01
69	1.598740747043308019e+01
70	1.721262656343061437e+01
71	1.920360758955160208e+01
72	2.157746958223432188e+01
73	2.364502680166765813e+01
74	2.500638134944269453e+01
75	2.750787033097932266e+01
76	5.804475453075810520e+01
77	6.354973198332340445e+01
78	4.884710286735301565e+01
79	4.289117672083722965e+01
80	3.726708074534161597e+01
81	1.563856036756572720e+01
82	1.491534076406023956e+01
83	1.348591848889645206e+01
84	1.120564962137326681e+01
85	9.665617289202756979e+00
86	6.611078022632518980e+00
87	5.156130349697949811e+00
88	4.943418701608099930e+00
89	4.432910746192461282e+00
90	3.956436654471198633e+00
91	3.437420233131966096e+00
92	2.994980005105079446e+00
93	2.799285288862418231e+00
94	2.407895856377095356e+00
95	2.118608014974900033e+00
96	1.973964094273802372e+00
97	1.795286309878328934e+00
98	1.523015400323321611e+00
99	1.412405343316599948e+00
100	1.310303752233472396e+00
101	1.174168297455968624e+00
102	9.954905130604951857e-01
103	1.097592104143622960e+00
104	8.678635242065855238e-01
105	5.615587509572024238e-01
106	6.891857398111120858e-01
107	6.211180124223601995e-01
108	5.870841487279843118e-01
109	4.679656257976687050e-01
110	3.488471028673530427e-01
111	3.318301710201650434e-01
112	2.892878414021952116e-01
113	2.722709095550072123e-01
114	2.127116480898494089e-01
115	1.021015910831277185e-01
116	9.359312515953373268e-02
117	3.403386369437590153e-02
118	2.552539777078192962e-02
119	5.955926146515783115e-02
120	9.359312515953373268e-02
121	3.063047732493831554e-01
122	2.722709095550072123e-01
123	2.297285799370373527e-01
124	2.127116480898494089e-01
125	1.531523866246915777e-01
126	2.127116480898494089e-01
127	1.276269888539096342e-01
128	1.871862503190674654e-01
129	1.701693184718795215e-01
130	3.403386369437590153e-02
131	1.446439207010976058e-01
132	1.276269888539096342e-01
133	8.848804560537735231e-01
