# amplicon position	effect
1	3.000000000000000000e+00
2	4.000000000000000000e+00
3	1.300000000000000000e+01
4	1.000000000000000000e+01
5	5.000000000000000000e+00
6	1.000000000000000000e+00
7	3.000000000000000000e+00
8	2.000000000000000000e+00
9	3.000000000000000000e+00
10	3.000000000000000000e+00
11	4.000000000000000000e+00
12	0.000000000000000000e+00
13	3.000000000000000000e+00
14	9.000000000000000000e+00
15	1.700000000000000000e+01
16	2.000000000000000000e+01
17	1.000000000000000000e+00
18	1.000000000000000000e+00
19	1.000000000000000000e+01
20	1.000000000000000000e+00
21	3.000000000000000000e+00
22	8.000000000000000000e+00
23	0.000000000000000000e+00
24	4.000000000000000000e+00
25	5.000000000000000000e+00
26	3.000000000000000000e+00
27	1.300000000000000000e+01
28	4.000000000000000000e+00
29	3.000000000000000000e+00
30	1.000000000000000000e+00
31	4.000000000000000000e+00
32	3.000000000000000000e+00
33	1.700000000000000000e+01
34	9.000000000000000000e+00
35	3.000000000000000000e+00
36	2.000000000000000000e+00
37	2.000000000000000000e+00
38	4.000000000000000000e+00
39	5.000000000000000000e+00
40	1.000000000000000000e+00
41	1.000000000000000000e+00
42	1.000000000000000000e+00
43	2.000000000000000000e+00
44	2.000000000000000000e+00
45	3.000000000000000000e+00
46	6.000000000000000000e+00
47	1.000000000000000000e+00
48	5.000000000000000000e+00
49	7.000000000000000000e+00
50	9.000000000000000000e+00
51	2.000000000000000000e+00
52	3.000000000000000000e+00
53	7.000000000000000000e+00
54	4.000000000000000000e+00
55	4.000000000000000000e+00
56	9.000000000000000000e+00
57	5.000000000000000000e+00
58	9.000000000000000000e+00
59	1.200000000000000000e+01
60	1.100000000000000000e+01
61	9.000000000000000000e+00
62	5.000000000000000000e+00
63	1.200000000000000000e+01
64	1.900000000000000000e+01
65	8.000000000000000000e+00
66	7.000000000000000000e+00
67	9.000000000000000000e+00
68	2.500000000000000000e+01
69	2.900000000000000000e+01
70	1.500000000000000000e+01
71	3.300000000000000000e+01
72	2.000000000000000000e+01
73	3.700000000000000000e+01
74	9.300000000000000000e+01
75	1.230000000000000000e+02
76	1.180000000000000000e+02
77	4.440000000000000000e+02
78	3.460000000000000000e+02
79	1.110000000000000000e+02
80	7.700000000000000000e+01
81	5.100000000000000000e+01
82	4.500000000000000000e+01
83	1.800000000000000000e+01
84	2.600000000000000000e+01
85	5.300000000000000000e+01
86	5.500000000000000000e+01
87	1.000000000000000000e+01
88	8.000000000000000000e+00
89	1.000000000000000000e+01
90	1.600000000000000000e+01
91	1.700000000000000000e+01
92	1.400000000000000000e+01
93	2.600000000000000000e+01
94	3.000000000000000000e+00
95	5.000000000000000000e+00
96	1.300000000000000000e+01
97	1.200000000000000000e+01
98	6.000000000000000000e+00
99	0.000000000000000000e+00
100	3.000000000000000000e+00
101	5.000000000000000000e+00
102	5.000000000000000000e+00
103	1.000000000000000000e+00
104	6.000000000000000000e+00
105	2.000000000000000000e+00
106	1.500000000000000000e+01
107	1.400000000000000000e+01
108	1.000000000000000000e+01
109	5.000000000000000000e+00
110	5.000000000000000000e+00
111	9.000000000000000000e+00
112	4.000000000000000000e+00
113	5.000000000000000000e+00
114	9.000000000000000000e+00
115	2.000000000000000000e+00
116	2.000000000000000000e+00
117	3.000000000000000000e+00
118	1.000000000000000000e+00
119	4.000000000000000000e+00
120	4.000000000000000000e+00
121	1.200000000000000000e+01
122	0.000000000000000000e+00
123	1.500000000000000000e+01
124	9.000000000000000000e+00
125	5.000000000000000000e+00
126	6.000000000000000000e+00
127	3.000000000000000000e+00
128	3.000000000000000000e+00
129	1.000000000000000000e+00
130	3.000000000000000000e+00
131	1.400000000000000000e+01
132	6.000000000000000000e+00
133	2.000000000000000000e+00
