# amplicon position	effect
1	4.600000000000000000e+01
2	1.000000000000000000e+01
3	1.000000000000000000e+01
4	2.300000000000000000e+01
5	1.900000000000000000e+01
6	3.200000000000000000e+01
7	6.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	6.000000000000000000e+00
12	3.000000000000000000e+00
13	3.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	1.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	1.000000000000000000e+00
25	2.000000000000000000e+00
26	2.000000000000000000e+00
27	1.700000000000000000e+01
28	1.700000000000000000e+01
29	1.800000000000000000e+01
30	1.800000000000000000e+01
31	1.800000000000000000e+01
32	2.100000000000000000e+01
33	3.100000000000000000e+01
34	3.200000000000000000e+01
35	3.100000000000000000e+01
36	3.100000000000000000e+01
37	3.100000000000000000e+01
38	3.100000000000000000e+01
39	3.400000000000000000e+01
40	5.100000000000000000e+01
41	5.600000000000000000e+01
42	5.800000000000000000e+01
43	5.800000000000000000e+01
44	5.800000000000000000e+01
45	6.200000000000000000e+01
46	7.300000000000000000e+01
47	7.200000000000000000e+01
48	1.420000000000000000e+02
49	1.530000000000000000e+02
50	1.770000000000000000e+02
51	1.890000000000000000e+02
52	1.890000000000000000e+02
53	2.180000000000000000e+02
54	2.350000000000000000e+02
55	2.650000000000000000e+02
56	3.070000000000000000e+02
57	3.260000000000000000e+02
58	3.500000000000000000e+02
59	3.990000000000000000e+02
60	4.300000000000000000e+02
61	5.300000000000000000e+02
62	7.780000000000000000e+02
63	8.300000000000000000e+02
64	8.970000000000000000e+02
65	1.079000000000000000e+03
66	1.163000000000000000e+03
67	1.193000000000000000e+03
68	1.741000000000000000e+03
69	1.834000000000000000e+03
70	1.988000000000000000e+03
71	2.209000000000000000e+03
72	2.476000000000000000e+03
73	2.679000000000000000e+03
74	2.778000000000000000e+03
75	3.014000000000000000e+03
76	5.815000000000000000e+03
77	6.652000000000000000e+03
78	5.346000000000000000e+03
79	4.835000000000000000e+03
80	4.255000000000000000e+03
81	1.759000000000000000e+03
82	1.681000000000000000e+03
83	1.543000000000000000e+03
84	1.267000000000000000e+03
85	1.039000000000000000e+03
86	7.030000000000000000e+02
87	5.790000000000000000e+02
88	5.480000000000000000e+02
89	4.930000000000000000e+02
90	4.340000000000000000e+02
91	3.700000000000000000e+02
92	3.250000000000000000e+02
93	2.840000000000000000e+02
94	2.610000000000000000e+02
95	2.320000000000000000e+02
96	2.020000000000000000e+02
97	1.890000000000000000e+02
98	1.650000000000000000e+02
99	1.490000000000000000e+02
100	1.440000000000000000e+02
101	1.240000000000000000e+02
102	1.040000000000000000e+02
103	1.200000000000000000e+02
104	9.000000000000000000e+01
105	6.000000000000000000e+01
106	5.500000000000000000e+01
107	5.100000000000000000e+01
108	4.900000000000000000e+01
109	4.300000000000000000e+01
110	3.100000000000000000e+01
111	2.500000000000000000e+01
112	2.500000000000000000e+01
113	2.400000000000000000e+01
114	9.000000000000000000e+00
115	7.000000000000000000e+00
116	7.000000000000000000e+00
117	0.000000000000000000e+00
118	1.000000000000000000e+00
119	0.000000000000000000e+00
120	0.000000000000000000e+00
121	4.000000000000000000e+00
122	9.000000000000000000e+00
123	6.000000000000000000e+00
124	1.200000000000000000e+01
125	4.000000000000000000e+00
126	1.100000000000000000e+01
127	9.000000000000000000e+00
128	1.400000000000000000e+01
129	1.400000000000000000e+01
130	1.000000000000000000e+00
131	1.000000000000000000e+00
132	5.000000000000000000e+00
133	3.800000000000000000e+01
