# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	4.000000000000000000e+00
4	1.000000000000000000e+00
5	6.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	8.000000000000000000e+00
11	0.000000000000000000e+00
12	3.000000000000000000e+00
13	1.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	1.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	2.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	1.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	2.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	5.000000000000000000e+00
39	1.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	2.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	2.000000000000000000e+00
52	4.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	1.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	2.000000000000000000e+00
61	3.000000000000000000e+00
62	2.000000000000000000e+00
63	3.000000000000000000e+00
64	7.000000000000000000e+00
65	3.000000000000000000e+00
66	2.000000000000000000e+00
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	1.300000000000000000e+01
70	1.900000000000000000e+01
71	8.000000000000000000e+00
72	3.600000000000000000e+01
73	5.600000000000000000e+01
74	6.800000000000000000e+01
75	9.600000000000000000e+01
76	8.890000000000000000e+02
77	3.730000000000000000e+02
78	4.900000000000000000e+01
79	4.400000000000000000e+01
80	4.000000000000000000e+00
81	4.000000000000000000e+00
82	3.000000000000000000e+00
83	7.000000000000000000e+00
84	1.000000000000000000e+00
85	2.000000000000000000e+01
86	2.000000000000000000e+00
87	6.000000000000000000e+00
88	1.300000000000000000e+01
89	3.000000000000000000e+00
90	3.000000000000000000e+00
91	3.000000000000000000e+00
92	1.000000000000000000e+00
93	3.000000000000000000e+00
94	5.000000000000000000e+00
95	0.000000000000000000e+00
96	7.000000000000000000e+00
97	3.000000000000000000e+00
98	0.000000000000000000e+00
99	1.000000000000000000e+01
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	1.000000000000000000e+00
103	2.000000000000000000e+00
104	0.000000000000000000e+00
105	0.000000000000000000e+00
106	7.000000000000000000e+00
107	5.000000000000000000e+00
108	6.000000000000000000e+00
109	2.000000000000000000e+00
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
118	0.000000000000000000e+00
119	0.000000000000000000e+00
120	2.000000000000000000e+00
121	1.000000000000000000e+01
122	1.300000000000000000e+01
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	8.000000000000000000e+00
126	4.000000000000000000e+00
127	2.000000000000000000e+00
128	2.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	4.300000000000000000e+01
